"category","key","author","title","month","year","editor","medial_id","volume","publisher","edition","number","series","address","abstract"
"Fach-/ Lehrbuch","11","Hake, G.; Grünreich, D.","Kartografie. 600 S.","6","96","UB/IL","55=94a2641","1","de Gruyter Berlin, New York","7","1994","3-11-01339-0","","Teil-Copy Literatur: Deumlich, F.: Spezialkarten für den OL 1987, Vermessungstechnik 35 (1987), S. 247-248; Egerer, A.: Kartenlesen Stuttgart 1914/18, Leipzig 1951; Egerer, A.: Wie fertigt man eine Kartenskizze? Stuttgart 1924; Fezer: Top. Atlas Baden-Württemberg Neumünster 1979; Hofmann, W.: Geländeaufnahme-Geländedarstellung, Braunschweig 1971 (Das geografische Seminar); Hofmann, W.; Louis, H. (Hrsg): Landformen im Kartenbild - Topografisch-geomorphische Kartenproben 1:25000, Braunschweig 1968 (ff.)"
"OL-Buch","12","Holloway, W./Mumme,M.","Orientierungslauf-Trainig, Technik, Taktik","8","96","UB/IL Fernleihe","","1","Rowohlt, Hamburg, (rororo Spor","0","1987","3-499-18609-8","","Teil-Copy; Pictogramme hinten dran: Copy von COR-85"
"Fach-/ Lehrbuch","13","Hüttermann, A.","Karteninterpretation in Stichworten. 160 S. Bd. 1 Topografische Karten","6","96","UB/IL","91=93a5461","0","Kiel, Hirt","0","1981","3-443-03104-8","",""
"Fach-/ Lehrbuch","14","Linke, Wolfgang","Orientierung mit Karte und Kompaß: Grundwissen-Verfahren-Übungen. 256.S.","6","96","UB/IL","55=94a3329","1","Herford:BusseSeewald","7","1994","3-512-03118-8","","EXZERPT+COPY; Cornaz, S. : Orientierungslaufen-Jogging mit Köpfchen. Bern/Stuttgart, Hallwag 1981; ISBN 3-444-50174-9 (Hallwag-Taschenbuch 152); Vermessung: Volquardts,H. u.a.: Vermessungskunde, Stuttgart, Teubner, Bd.1: 1985, 3-519-25213-IX (135 S.) ; Bd.2: 1986 3-51925214-1 (205 S.); lieferbare Karten:; GeoKatalog I / Touristik ISBN 3-921-435540-4; Kartenzeichnen:; Schweizerischer OL-Verband (Hrsg.): Anleitung zur Herstellung von OL-Karten, 24 S.; Int. Orientierungslauf-Förderation (Hrg.): Darstellungsvorschriften für int. Ol-Karten, 28 S. erhältlich über: OL-Materialstelle, Gyrhaldenstr. 50, CH-8953 Dietikon, in Dt.: OL-Sport Negro, Wittwaisstr 100; 88239 Wangen"
"Roman","15","Wood, Barbara","Traumzeit","9","95","","","0","","0","0000","","","Joanna, sucht in Australien unter den Eingeborenen nach Familienfluch"
"Roman","16","Wood, Barbara","Das Paradies","3","96","","","0","","0","0000","","","Frauengeschichte in Amerika und in Ägypten (Islam)"
"Roman","17","Heym, Stephan","Ahasver","10","95","","","0","Taschenbuch","0","0000","","","3 Zeitepochen: Briefwechsel zw. soz. und jüd. Prof;Legende: Der ewige Jude zur Zeit Jesu (Schuhmacher, der Jesus verflucht auf dem Kreuzweg); Mittelalter Paul v. Eitzen zur Zt. Luthers geprüft, macht Bekanntschaft mit ewigen Juden"
"Unterhaltung","18","Reiser, Paul","Coupplehood","2","97","Heike","","0","Bantam Books","0","1995","0-553-57313-6","","lustige Beschreibung von Problemen in der Partnerschaft, englisch, Englischpuzzle dabei entstanden"
"Roman","19","Gordon, Noah","Der Schamane","6","97","? Heike o. Bea","","0","Th. Knaur Nachf., München","0","1995","3-426-63058-3","","Taschenbuch Band 63058

Lebensgeschichte Schamans (Robert Jeremy Cole)in USA im 19.Jhr. und Vater Robert Judson Cole"
"Roman","21","Heine, E.W.","Das Halsband der Taube","6","97","Bibo RT","Hein","0","Albrecht Knaus Verlag","3","1994","3-8135-2008-0","","Orlando versucht Meuchelmord aufzu- klären, den sein Bruder Adrian an Herzog Ludwig in Kelheim ausübte"
